isFraud,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
0,307,CASH_OUT,212504.03,0.0,0.0,326501.68,426742.65
0,394,CASH_OUT,143744.1,0.0,0.0,3644294.29,3788038.38
0,252,PAYMENT,52064.37,99568.0,47503.63,0.0,0.0
0,216,TRANSFER,77126.57,52708.0,0.0,0.0,77126.57
0,383,CASH_IN,196743.11,8509860.63,8706603.74,1108403.13,911660.02
0,154,TRANSFER,500312.64,0.0,0.0,6908661.51,7408974.14
0,284,CASH_OUT,98445.76,0.0,0.0,904561.92,1065866.3
0,139,PAYMENT,20743.09,0.0,0.0,0.0,0.0
0,300,CASH_IN,249004.41,80341.0,329345.41,282386.43,33382.01
0,33,PAYMENT,12488.26,0.0,0.0,0.0,0.0
0,595,CASH_OUT,66236.96,176602.1,110365.14,134510.76,200747.72
0,514,TRANSFER,696873.32,0.0,0.0,891880.19,1588753.51
0,158,CASH_OUT,157930.99,39743.0,0.0,10519.0,168449.99
0,225,CASH_IN,304984.03,19510.0,324494.03,26336.32,0.0
0,48,PAYMENT,2927.24,24533.0,21605.76,0.0,0.0
0,256,PAYMENT,5681.1,57917.0,52235.9,0.0,0.0
0,398,CASH_OUT,325000.06,15606.0,0.0,155727.11,480727.18
0,164,TRANSFER,158548.47,0.0,0.0,402274.42,560822.89
0,132,TRANSFER,826266.8,317547.28,0.0,6002897.54,6829164.33
0,158,TRANSFER,576079.73,0.0,0.0,1735803.7,2311883.43
0,348,CASH_OUT,367866.67,0.0,0.0,432693.92,800560.59
0,393,CASH_IN,411863.33,1195504.0,1607367.33,1951159.13,1539295.8
0,278,CASH_IN,47907.3,37679.0,85586.3,309115.78,261208.48
0,649,TRANSFER,2515431.98,0.0,0.0,3389508.81,5904940.79
0,17,PAYMENT,12392.39,19934.0,7541.61,0.0,0.0
0,140,PAYMENT,28276.73,0.0,0.0,0.0,0.0
0,402,PAYMENT,14682.6,320715.04,306032.44,0.0,0.0
0,236,CASH_IN,315314.79,199775.0,515089.79,64803.37,0.0
0,158,CASH_OUT,39914.06,116722.0,76807.94,2614263.75,2654177.81
0,234,CASH_OUT,56271.28,0.0,0.0,219608.63,275879.91
0,311,PAYMENT,6533.11,261423.0,254889.89,0.0,0.0
0,234,CASH_IN,309774.55,19679678.54,19989453.09,1355325.58,1045551.03
0,378,TRANSFER,608028.6,0.0,0.0,1236432.67,1844461.26
0,251,CASH_OUT,131319.47,0.0,0.0,256062.37,387381.84
0,37,TRANSFER,334939.06,0.0,0.0,4093068.9,4428007.96
0,396,CASH_OUT,385209.65,0.0,0.0,1951339.93,2336549.58
0,400,CASH_OUT,116201.04,0.0,0.0,1550556.27,1666757.31
0,231,PAYMENT,3725.92,0.0,0.0,0.0,0.0
0,20,CASH_OUT,136060.88,66210.0,0.0,182829.7,318890.57
0,369,PAYMENT,46657.8,0.0,0.0,0.0,0.0
0,211,CASH_IN,176505.08,4344828.32,4521333.4,5001123.55,4824618.47
0,254,PAYMENT,23924.17,230894.5,206970.33,0.0,0.0
0,306,TRANSFER,366823.04,0.0,0.0,847007.62,1213830.66
0,395,PAYMENT,42964.09,3642.58,0.0,0.0,0.0
0,157,CASH_IN,84896.45,39912.0,124808.45,101318.38,16421.93
0,162,CASH_OUT,126013.98,0.0,0.0,138128.34,264142.32
0,11,PAYMENT,7956.89,417242.11,409285.22,0.0,0.0
0,155,CASH_IN,416377.39,324817.28,741194.67,435425.46,19048.07
0,299,PAYMENT,137.19,11312.0,11174.81,0.0,0.0
0,203,CASH_OUT,42084.83,49262.0,7177.17,336907.11,378991.94
0,239,TRANSFER,150513.43,159.0,0.0,422666.04,573179.47
0,256,PAYMENT,1375.57,0.0,0.0,0.0,0.0
0,259,CASH_IN,40904.91,7054049.61,7094954.52,499088.91,458183.99
0,213,CASH_IN,17111.59,10281.0,27392.59,253357.72,236246.13
0,254,CASH_OUT,26427.56,0.0,0.0,1226013.15,1252440.71
0,285,PAYMENT,16197.39,13948.0,0.0,0.0,0.0
0,283,CASH_OUT,272652.1,104393.0,0.0,150104.17,422756.28
0,332,CASH_OUT,244212.73,19220.18,0.0,692553.34,936766.07
0,39,CASH_IN,207788.68,260946.14,468734.82,295044.8,87256.12
0,330,CASH_OUT,123869.58,37902.0,0.0,5500610.8,5624480.38
0,34,CASH_OUT,73879.87,4025.0,0.0,126783.5,200663.37
0,377,CASH_OUT,314441.22,299572.0,0.0,0.0,314441.22
0,38,CASH_IN,25537.6,767.0,26304.6,579595.7,554058.1
0,306,CASH_OUT,286929.39,20208.0,0.0,225659.63,512589.01
0,20,PAYMENT,4239.9,3896.41,0.0,0.0,0.0
0,402,CASH_OUT,127099.34,0.0,0.0,1176470.63,1303569.97
0,376,CASH_OUT,6993.03,0.0,0.0,1648252.99,1655246.02
0,256,CASH_IN,273494.93,21217787.59,21491282.52,961213.33,687718.4
0,210,CASH_IN,104204.34,22783.0,126987.34,0.0,0.0
0,9,PAYMENT,10228.37,46296.27,36067.9,0.0,0.0
0,406,PAYMENT,12767.1,13016.0,248.9,0.0,0.0
0,276,CASH_OUT,26281.24,152780.0,126498.76,81699.89,107981.13
0,139,PAYMENT,29149.67,89308.21,60158.54,0.0,0.0
0,347,PAYMENT,10157.24,30794.0,20636.76,0.0,0.0
0,130,CASH_OUT,446585.25,123133.0,0.0,1225803.7,1672388.95
0,281,CASH_OUT,161446.59,0.0,0.0,1185621.19,1347067.78
0,350,CASH_OUT,225437.75,0.0,0.0,2510862.16,2736299.91
0,311,CASH_OUT,244799.89,2687.64,0.0,556047.14,800847.03
0,139,TRANSFER,700570.3,0.0,0.0,4602456.28,5303026.59
0,130,PAYMENT,19247.24,86973.0,67725.76,0.0,0.0
0,19,CASH_OUT,295614.58,0.0,0.0,1768864.74,2064479.32
0,448,PAYMENT,8833.99,64162.79,55328.8,0.0,0.0
0,202,PAYMENT,5258.39,0.0,0.0,0.0,0.0
0,42,CASH_IN,258422.64,3406608.63,3665031.27,688399.91,429977.27
0,492,CASH_IN,165585.48,1341093.27,1506678.75,392175.97,226590.5
0,188,PAYMENT,5650.46,0.0,0.0,0.0,0.0
0,208,CASH_OUT,105025.88,835.33,0.0,333932.99,438958.87
0,23,CASH_IN,11051.28,47603.05,58654.33,936522.73,925471.45
0,348,CASH_IN,31438.64,2074208.84,2105647.48,138773.36,107334.72
0,140,CASH_OUT,117736.35,57775.97,0.0,1529808.23,1647544.58
0,19,CASH_OUT,187911.39,0.0,0.0,243905.64,431817.02
0,234,CASH_OUT,10451.04,0.0,0.0,229568.41,240019.45
0,297,PAYMENT,41951.27,863.0,0.0,0.0,0.0
0,394,CASH_OUT,133917.79,4005.0,0.0,0.0,133917.79
0,40,CASH_IN,11498.24,2450609.19,2462107.43,159876.8,148378.56
0,179,PAYMENT,25201.06,20433.0,0.0,0.0,0.0
0,592,CASH_OUT,237317.99,0.0,0.0,290308.56,527626.56
0,129,CASH_OUT,96651.32,5093.0,0.0,22424.9,119076.22
0,375,TRANSFER,1383702.3,304414.67,0.0,1442592.62,2826294.91
0,426,TRANSFER,938204.92,112568.0,0.0,0.0,938204.92
0,143,PAYMENT,11888.04,0.0,0.0,0.0,0.0
0,401,CASH_IN,146488.14,3384841.99,3531330.13,465966.49,319478.35
0,228,TRANSFER,1427700.56,522789.0,0.0,138757.74,1566458.3
0,132,PAYMENT,17556.44,0.0,0.0,0.0,0.0
0,46,CASH_IN,146129.31,225748.41,371877.71,188698.06,42568.75
